500 4000000
322 17 A                
103 38 A                
460 19 B                
456 69 B                
169 57 B                
319 42 A                
175 37 A                
231 42 A                
337 68 B                
426 46 B                
139 18 A                
318 54 B                
368 59 A                
88 30 A             
379 66 B                
335 21 A                
264 33 B                
72 28 B             
80 57 A             
72 59 A             
473 35 A                
83 64 A             
278 17 B                
98 42 B             
235 50 A                
417 68 A                
403 63 B                
265 25 A                
274 13 A                
257 59 A                
135 43 A                
165 45 A                
292 15 A                
243 46 A                
475 36 B                
294 13 B                
251 40 B                
52 45 B             
398 60 A                
86 26 A             
104 41 A                
96 27 A             
204 11 A                
466 45 B                
232 13 A                
91 39 B             
197 16 A                
323 54 A                
303 52 A                
426 65 A                
235 21 B                
424 62 A                
131 56 A                
63 16 A             
403 25 B                
130 52 A                
208 52 A                
76 58 B             
168 42 A                
60 14 A             
125 56 A                
256 57 B                
391 13 A                
302 47 A                
284 23 B                
189 55 B                
414 43 B                
282 21 B                
62 29 B             
357 64 A                
496 18 B                
348 26 A                
119 43 B                
389 57 A                
110 35 A                
422 44 A                
110 62 A                
246 31 A                
333 69 A                
398 25 A                
307 22 B                
254 63 A                
152 17 A                
341 33 A                
233 16 A                
488 21 A                
280 27 A                
382 51 B                
71 28 A             
238 48 B                
457 40 B                
85 31 B             
270 46 A                
72 17 B             
432 41 B                
368 63 A                
56 63 B             
497 32 B                
322 52 A                
454 14 B                
73 26 B             
108 16 A                
386 21 A                
378 42 B                
385 25 B                
104 11 B                
137 67 A                
115 52 B                
471 62 B                
350 57 B                
142 43 B                
96 57 B             
257 11 A                
453 10 B                
273 55 A                
470 43 B                
439 47 A                
491 31 A                
190 44 A                
428 53 A                
209 60 B                
209 44 A                
136 25 A                
146 19 B                
276 28 B                
374 69 B                
346 61 B                
99 13 A             
255 47 A                
157 43 A                
94 57 B             
324 50 B                
444 38 A                
225 35 A                
103 65 A                
284 35 A                
434 32 A                
159 24 B                
438 25 B                
263 60 B                
166 66 A                
393 69 B                
192 15 B                
165 43 A                
351 45 B                
323 49 B                
235 54 A                
463 20 A                
257 44 B                
490 53 A                
62 45 A             
212 41 B                
297 60 A                
417 10 A                
442 67 A                
225 22 A                
131 40 A                
78 18 B             
66 35 B             
135 69 A                
219 47 B                
96 14 A             
152 13 B                
449 28 B                
405 36 B                
97 24 A             
128 59 A                
382 59 A                
150 59 A                
210 60 A                
202 46 B                
112 57 A                
357 11 A                
283 24 B                
485 27 B                
360 38 A                
59 32 A             
283 10 B                
151 54 A                
154 21 A                
66 16 A             
82 57 B             
301 44 A                
76 32 B             
166 65 A                
469 17 B                
64 15 B             
78 53 B             
387 42 A                
316 29 A                
100 34 B                
125 11 A                
277 49 B                
250 70 B                
111 46 A                
416 11 A                
207 46 B                
58 70 A             
327 16 A                
321 56 B                
393 57 B                
126 26 A                
154 66 B                
347 19 A                
362 48 B                
443 25 B                
349 46 A                
76 28 B             
191 17 A                
484 45 A                
256 16 B                
165 28 A                
360 54 B                
312 48 B                
229 19 A                
363 33 B                
167 35 B                
308 19 A                
84 42 B             
447 21 A                
401 61 A                
408 10 B                
357 39 A                
326 50 B                
450 35 A                
252 64 B                
464 18 B                
315 54 B                
399 29 B                
372 21 B                
59 53 B             
463 43 B                
198 43 A                
239 70 B                
115 46 B                
425 68 A                
375 10 A                
195 47 A                
274 16 A                
205 12 B                
265 65 A                
200 17 B                
288 59 A                
363 45 A                
419 12 B                
154 68 A                
267 11 B                
388 21 B                
107 70 B                
360 17 B                
251 55 A                
436 29 A                
218 50 A                
437 67 B                
394 66 A                
90 57 A             
336 32 A                
111 45 A                
324 61 A                
367 38 A                
119 52 A                
282 14 A                
269 59 A                
276 61 B                
428 23 B                
428 53 B                
332 20 B                
467 59 B                
171 48 A                
139 42 A                
247 69 B                
264 27 A                
106 57 A                
213 69 B                
101 17 B                
463 37 B                
350 26 B                
332 13 B                
340 51 A                
420 39 B                
315 56 B                
288 15 A                
461 61 A                
132 10 B                
71 63 A             
324 50 A                
368 17 A                
286 19 A                
371 43 A                
291 51 A                
411 31 B                
